ymd,time,gp,cellA,bioA,cellV,bioV,ocV
YYYYMMDD,HHMMSS,hour,cells*m-2,uL*m-2,cells*L-1,uL*L-1,mg*L-1
19980703,063000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980703,073000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980703,083000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980703,093000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980703,103000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980703,113000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980703,123000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980703,133000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980703,143000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980703,153000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980703,163000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980703,173000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980703,183000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980703,193000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980703,203000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980703,213000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980703,223000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980703,233000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,003000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,013000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,023000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,033000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
