ymd,time,swe,sst,ssrd,gsnwl
YYYYMMDD,HHMMSS,kg m-2,K,W m-2,kg m-2 s-1
20120101,003000,1000.0,222.09889221191406,8.741829872131348,0.0
20120101,013000,1000.0,221.58863830566406,33.181976318359375,0.0
20120101,023000,1000.0,221.29299926757812,43.13861846923828,0.0
20120101,033000,1000.0,220.81137084960938,35.678245544433594,0.0
20120101,043000,1000.0,220.29051208496094,13.58242130279541,0.0
20120101,053000,1000.0,219.79942321777344,0.0,0.0
20120101,063000,1000.0,219.4051055908203,0.0,0.0
20120101,073000,1000.0,219.0687713623047,0.0,0.0
20120101,083000,1000.0,218.77113342285156,0.0,0.0
20120101,093000,1000.0,218.20535278320312,0.0,0.0
20120101,103000,1000.0,217.7182159423828,0.0,0.0
20120101,113000,1000.0,217.28363037109375,0.0,0.0
20120101,123000,1000.0,216.7824249267578,0.0,0.0
20120101,133000,1000.0,216.3697509765625,0.0,0.0
20120101,143000,1000.0,216.0185546875,0.0,0.0
20120101,153000,1000.0,215.63079833984375,0.0,0.0
20120101,163000,1000.0,215.31736755371094,0.0,0.0
20120101,173000,1000.0,215.05636596679688,0.0,0.0
20120101,183000,1000.0,214.82473754882812,0.0,0.0
20120101,193000,1000.0,214.6147003173828,0.0,0.0
20120101,203000,1000.0,214.4217987060547,0.0,0.0
20120101,213000,1000.0,214.4848175048828,0.0,0.0
20120101,223000,1000.0,214.5203857421875,0.0,0.0
20120101,233000,1000.0,214.5391387939453,0.0,0.0
20120102,003000,1000.0,214.5613555908203,12.170401573181152,0.0
20120102,013000,1000.0,214.84902954101562,44.4339485168457,0.0
20120102,023000,1000.0,215.1572723388672,57.48305892944336,0.0
20120102,033000,1000.0,215.29940795898438,45.49850082397461,0.0
20120102,043000,1000.0,215.1383514404297,17.80738639831543,0.0
20120102,053000,1000.0,214.84954833984375,0.0,0.0
20120102,063000,1000.0,214.5331573486328,0.0,0.0
20120102,073000,1000.0,214.27964782714844,0.0,0.0
20120102,083000,1000.0,214.06956481933594,0.0,0.0
20120102,093000,1000.0,213.77249145507812,0.0,0.0
20120102,103000,1000.0,213.53147888183594,0.0,0.0
20120102,113000,1000.0,213.32981872558594,0.0,0.0
20120102,123000,1000.0,213.1301727294922,0.0,0.0
20120102,133000,1000.0,212.9507598876953,0.0,0.0
20120102,143000,1000.0,212.78587341308594,0.0,0.0
20120102,153000,1000.0,212.80735778808594,0.0,0.0
20120102,163000,1000.0,212.81692504882812,0.0,0.0
20120102,173000,1000.0,212.8199462890625,0.0,0.0
20120102,183000,1000.0,212.98768615722656,0.0,0.0
20120102,193000,1000.0,213.07717895507812,0.0,0.0
20120102,203000,1000.0,213.11090087890625,0.0,0.0
20120102,213000,1000.0,212.690673828125,0.0,0.0
20120102,223000,1000.0,212.3975067138672,0.0,0.0
20120102,233000,1000.0,212.1912841796875,0.0,0.0
20120103,003000,1000.0,212.61216735839844,10.96831226348877,0.0
20120103,013000,1000.0,213.22561645507812,38.50127410888672,0.0
20120103,023000,1000.0,213.82618713378906,49.54935073852539,0.0
20120103,033000,1000.0,214.59674072265625,32.78608322143555,0.0
20120103,043000,1000.0,214.97848510742188,13.23970890045166,0.0
20120103,053000,1000.0,215.1438446044922,0.0,0.0
20120103,063000,1000.0,215.3909912109375,0.0,0.0
20120103,073000,1000.0,215.57029724121094,0.0,0.0
20120103,083000,1000.0,215.69932556152344,0.0,0.0
20120103,093000,1000.0,214.9200897216797,0.0,0.0
20120103,103000,1000.0,214.36160278320312,0.0,0.0
20120103,113000,1000.0,213.95408630371094,0.0,0.0
20120103,123000,1000.0,213.49044799804688,0.0,0.0
20120103,133000,1000.0,213.11683654785156,0.0,0.0
20120103,143000,1000.0,212.80433654785156,0.0,0.0
20120103,153000,1000.0,212.47340393066406,0.0,0.0
20120103,163000,1000.0,212.1977081298828,0.0,0.0
20120103,173000,1000.0,211.96031188964844,0.0,0.0
20120103,183000,1000.0,211.54721069335938,0.0,0.0
20120103,193000,1000.0,211.2048797607422,0.0,0.0
20120103,203000,1000.0,210.91201782226562,0.0,0.0
20120103,213000,1000.0,210.33758544921875,0.0,0.0
20120103,223000,1000.0,209.87689208984375,0.0,0.0
20120103,233000,1000.0,209.49632263183594,0.0,0.0
20120104,003000,1000.0,209.58236694335938,15.381290435791016,0.0
20120104,013000,1000.0,210.03587341308594,51.911048889160156,0.0
20120104,023000,1000.0,210.54200744628906,66.44451141357422,0.0
20120104,033000,1000.0,211.000244140625,55.445655822753906,0.0
20120104,043000,1000.0,210.9950714111328,23.143692016601562,0.0
20120104,053000,1000.0,210.74566650390625,0.0,0.0
20120104,063000,1000.0,210.5727996826172,0.0,0.0
20120104,073000,1000.0,210.43380737304688,0.0,0.0
20120104,083000,1000.0,210.3186798095703,0.0,0.0
20120104,093000,1000.0,210.39691162109375,0.0,0.0
20120104,103000,1000.0,210.45639038085938,0.0,0.0
20120104,113000,1000.0,210.5038299560547,0.0,0.0
20120104,123000,1000.0,210.78408813476562,0.0,0.0
20120104,133000,1000.0,211.00164794921875,0.0,0.0
20120104,143000,1000.0,211.17620849609375,0.0,0.0
20120104,153000,1000.0,211.3941650390625,0.0,0.0
20120104,163000,1000.0,211.56240844726562,0.0,0.0
20120104,173000,1000.0,211.6958465576172,0.0,0.0
20120104,183000,1000.0,211.81410217285156,0.0,0.0
20120104,193000,1000.0,211.91273498535156,0.0,0.0
20120104,203000,1000.0,211.99742126464844,0.0,0.0
20120104,213000,1000.0,211.6243896484375,0.0,0.0
20120104,223000,1000.0,211.3474578857422,0.0,0.0
