YMD,time,swe,sst,ssrd,gsnwl
,,kg m-2,K,W m-2,kg m-2 s-1
20000101,003000,1599.979248046875,256.20751953125,13.11601734161377,0.0
20000101,013000,1599.960205078125,255.20396423339844,0.0,0.0
20000101,023000,1599.940185546875,254.44754028320312,0.0,0.0
20000101,033000,1599.920166015625,253.63731384277344,0.0,0.0
20000101,043000,1599.9007568359375,252.89227294921875,0.0,0.0
20000101,053000,1599.8817138671875,252.15878295898438,0.0,0.0
20000101,063000,1599.8642578125,251.29354858398438,0.0,0.0
20000101,073000,1599.8472900390625,250.7843475341797,0.0,0.0
20000101,083000,1599.8304443359375,250.42037963867188,0.0,0.0
20000101,093000,1599.815673828125,249.92530822753906,0.0,0.0
20000101,103000,1599.801513671875,249.72640991210938,0.0,0.0
20000101,113000,1599.7877197265625,249.6514434814453,0.0,0.0
20000101,123000,1599.775146484375,249.51992797851562,0.0,0.0
20000101,133000,1599.762451171875,249.39955139160156,0.0,0.0
20000101,143000,1599.749755859375,249.28660583496094,0.0,0.0
20000101,153000,1599.7373046875,249.1343994140625,0.0,0.0
20000101,163000,1599.7255859375,248.9733123779297,0.0,0.0
20000101,173000,1599.7149658203125,248.8061981201172,0.0,0.0
20000101,183000,1599.7052001953125,248.60964965820312,0.0,0.0
20000101,193000,1599.6962890625,248.6292266845703,18.57352638244629,0.0
20000101,203000,1599.687255859375,248.8126220703125,60.73424530029297,0.0
20000101,213000,1599.6793212890625,248.88510131835938,89.90556335449219,0.0
20000101,223000,1599.671875,248.44447326660156,89.94953155517578,0.0
20000101,233000,1599.6654052734375,247.71095275878906,65.91166687011719,0.0
20000102,003000,1599.66064453125,246.6942596435547,21.087369918823242,0.0
20000102,013000,1599.6578369140625,246.3343963623047,0.0,0.0
20000102,023000,1599.6563720703125,246.26576232910156,0.0,0.0
20000102,033000,1599.6563720703125,246.14657592773438,0.0,0.0
20000102,043000,1599.6568603515625,245.9031524658203,0.0,0.0
20000102,053000,1599.657958984375,245.5487823486328,0.0,0.0
20000102,063000,1599.65966796875,245.0343780517578,0.0,0.0
20000102,073000,1599.6619873046875,244.5760040283203,0.0,0.0
20000102,083000,1599.6644287109375,244.10816955566406,0.0,0.0
20000102,093000,1599.6668701171875,244.08656311035156,0.0,0.0
20000102,103000,1599.6695556640625,244.01673889160156,0.0,0.0
20000102,113000,1599.6722412109375,243.91433715820312,0.0,0.0
20000102,123000,1599.6749267578125,244.25872802734375,0.0,0.0
20000102,133000,1599.678466796875,244.228271484375,0.0,0.0
20000102,143000,1599.6827392578125,243.9180145263672,0.0,0.0
20000102,153000,1599.687744140625,244.38995361328125,0.0,0.0
20000102,163000,1599.6937255859375,244.70132446289062,0.0,0.0
20000102,173000,1599.7008056640625,244.9059600830078,0.0,0.0
20000102,183000,1599.708984375,246.2942352294922,0.0,0.0
20000102,193000,1599.718994140625,247.2375946044922,10.235648155212402,0.0
20000102,203000,1599.7301025390625,247.9775848388672,32.5960807800293,0.0
20000102,213000,1599.8179931640625,248.9232940673828,28.899993896484375,2.1324385670595802e-05
20000102,223000,1599.9049072265625,249.5497283935547,28.915294647216797,2.1324385670595802e-05
20000102,233000,1599.990478515625,249.869384765625,21.278736114501953,2.1324385670595802e-05
20000103,003000,1600.0,250.45640563964844,5.20856237411499,2.333432166778948e-05
20000103,013000,1600.0,251.1082305908203,0.0,2.333432166778948e-05
20000103,023000,1600.0,251.85372924804688,0.0,2.333432166778948e-05
20000103,033000,1600.0,252.5773162841797,0.0,0.0001293966779485345
20000103,043000,1600.0,253.0709686279297,0.0,0.0001293966779485345
20000103,053000,1600.0,253.40560913085938,0.0,0.0001293966779485345
20000103,063000,1600.0,254.2351837158203,0.0,0.0001770698290783912
20000103,073000,1600.0,254.96372985839844,0.0,0.0001770698290783912
20000103,083000,1600.0,255.6278533935547,0.0,0.0001770698290783912
20000103,093000,1600.0,256.38494873046875,0.0,0.00018085911870002747
20000103,103000,1600.0,257.1328430175781,0.0,0.00018085911870002747
20000103,113000,1600.0,257.8771667480469,0.0,0.00018085911870002747
20000103,123000,1600.0,258.6861877441406,0.0,0.0002310128038516268
20000103,133000,1600.0,259.31756591796875,0.0,0.0002310128038516268
20000103,143000,1600.0,259.8060607910156,0.0,0.0002310128038516268
20000103,153000,1600.0,260.5469055175781,0.0,0.0002762792573776096
20000103,163000,1600.0,261.1727600097656,0.0,0.0002762792573776096
20000103,173000,1600.0,261.7313232421875,0.0,0.0002762792573776096
20000103,183000,1600.0,262.220947265625,0.0,0.0002856998471543193
20000103,193000,1600.0,262.6803283691406,6.98443603515625,0.0002856998471543193
20000103,203000,1600.0,263.1443176269531,21.645105361938477,0.0002856998471543193
20000103,213000,1600.0,264.064697265625,28.53401756286621,0.0004365170607343316
20000103,223000,1600.0,264.8736572265625,28.550222396850586,0.0004365170607343316
20000103,233000,1600.0,265.59063720703125,21.10527992248535,0.0004365170607343316
20000104,003000,1600.0,265.77972412109375,10.032751083374023,0.0004366938956081867
20000104,013000,1600.0,265.5692443847656,0.0,0.0004366938956081867
20000104,023000,1600.0,265.12872314453125,0.0,0.0004366938956081867
20000104,033000,1600.0,264.2978515625,0.0,0.00043098736205138266
20000104,043000,1600.0,263.7923278808594,0.0,0.00043098736205138266
20000104,053000,1600.0,263.4367980957031,0.0,0.00043098736205138266
20000104,063000,1600.0,262.78857421875,0.0,0.00031393024255521595
20000104,073000,1600.0,262.3602600097656,0.0,0.00031393024255521595
20000104,083000,1600.0,262.0302734375,0.0,0.00031393024255521595
