YMD,time,swe,sst,ssrd,gsnwl
,,kg m-2,K,W m-2,kg m-2 s-1
20010101,003000,2000.0,258.8258361816406,0.0,3.226278568035923e-05
20010101,013000,2000.0,258.13604736328125,0.0,3.226278568035923e-05
20010101,023000,2000.0,257.85809326171875,0.0,3.226278568035923e-05
20010101,033000,2000.0,258.01458740234375,0.0,4.081538281752728e-05
20010101,043000,2000.0,258.3200988769531,0.0,4.081538281752728e-05
20010101,053000,2000.0,258.718017578125,0.0,4.081538281752728e-05
20010101,063000,2000.0,258.98468017578125,0.0,2.7261488867225125e-05
20010101,073000,2000.0,259.0661926269531,0.0,2.7261488867225125e-05
20010101,083000,2000.0,259.0477294921875,0.0,2.7261488867225125e-05
20010101,093000,2000.0,258.470947265625,0.0,0.0
20010101,103000,2000.0,257.8476257324219,0.0,0.0
20010101,113000,2000.0,257.1866760253906,0.0,0.0
20010101,123000,2000.0,256.260986328125,0.0,0.0
20010101,133000,2000.0,255.06207275390625,0.0,0.0
20010101,143000,2000.0,253.73577880859375,0.0,0.0
20010101,153000,2000.0,252.92279052734375,0.0,0.0
20010101,163000,2000.0,252.1780242919922,0.0,0.0
20010101,173000,2000.0,251.45498657226562,0.0,0.0
20010101,183000,2000.0,251.0140380859375,0.0,0.0
20010101,193000,2000.0,250.71559143066406,0.04764106869697571,0.0
20010101,203000,2000.0,250.54403686523438,9.078490257263184,0.0
20010101,213000,2000.0,251.11477661132812,15.32158374786377,0.0
20010101,223000,2000.0,251.8474578857422,12.696004867553711,0.0
20010101,233000,2000.0,252.58193969726562,2.3040077686309814,0.0
20010102,003000,2000.0,253.41580200195312,0.0,0.0
20010102,013000,2000.0,254.05465698242188,0.0,0.0
20010102,023000,2000.0,254.578857421875,0.0,0.0
20010102,033000,2000.0,254.8249969482422,0.0,0.0
20010102,043000,2000.0,254.9380645751953,0.0,0.0
20010102,053000,2000.0,254.95823669433594,0.0,0.0
20010102,063000,2000.0,254.8632354736328,0.0,0.0
20010102,073000,2000.0,254.72592163085938,0.0,0.0
20010102,083000,2000.0,254.552490234375,0.0,0.0
20010102,093000,2000.0,253.90924072265625,0.0,0.0
20010102,103000,2000.0,253.41209411621094,0.0,0.0
20010102,113000,2000.0,252.99356079101562,0.0,0.0
20010102,123000,2000.0,252.01368713378906,0.0,0.0
20010102,133000,2000.0,251.25393676757812,0.0,0.0
20010102,143000,2000.0,250.61915588378906,0.0,0.0
20010102,153000,2000.0,249.71412658691406,0.0,1.1337652722431812e-05
20010102,163000,2000.0,249.01356506347656,0.0,1.1337652722431812e-05
20010102,173000,2000.0,248.43466186523438,0.0,1.1337652722431812e-05
20010102,183000,2000.0,247.90521240234375,0.0,0.0
20010102,193000,2000.0,247.4673309326172,0.12805160880088806,0.0
20010102,203000,2000.0,247.16860961914062,12.467826843261719,0.0
20010102,213000,2000.0,247.26573181152344,23.50480842590332,0.0
20010102,223000,2000.0,247.5374298095703,19.621183395385742,0.0
20010102,233000,2000.0,247.74374389648438,3.8946471214294434,0.0
20010103,003000,2000.0,247.70167541503906,0.0,0.0
20010103,013000,2000.0,247.63668823242188,0.0,0.0
20010103,023000,2000.0,247.5583038330078,0.0,0.0
20010103,033000,2000.0,246.7187042236328,0.0,0.0
20010103,043000,2000.0,246.0711669921875,0.0,0.0
20010103,053000,2000.0,245.55026245117188,0.0,0.0
20010103,063000,2000.0,244.84280395507812,0.0,0.0
20010103,073000,2000.0,244.2708282470703,0.0,0.0
20010103,083000,2000.0,243.8693084716797,0.0,0.0
20010103,093000,2000.0,244.49124145507812,0.0,0.0
20010103,103000,2000.0,244.83010864257812,0.0,0.0
20010103,113000,2000.0,244.9681854248047,0.0,0.0
20010103,123000,2000.0,245.6471405029297,0.0,6.062161992304027e-05
20010103,133000,2000.0,246.15374755859375,0.0,6.062161992304027e-05
20010103,143000,2000.0,246.56393432617188,0.0,6.062161992304027e-05
20010103,153000,2000.0,247.29495239257812,0.0,7.755843398626894e-05
20010103,163000,2000.0,247.76161193847656,0.0,7.755843398626894e-05
20010103,173000,2000.0,248.08575439453125,0.0,7.755843398626894e-05
20010103,183000,2000.0,248.05284118652344,0.0,1.706063085293863e-05
20010103,193000,2000.0,248.02017211914062,0.14486505091190338,1.706063085293863e-05
20010103,203000,2000.0,248.02838134765625,8.583922386169434,1.706063085293863e-05
20010103,213000,2000.0,247.22161865234375,19.496864318847656,0.0
20010103,223000,2000.0,246.45526123046875,16.395883560180664,0.0
20010103,233000,2000.0,245.65333557128906,3.531425952911377,0.0
20010104,003000,2000.0,245.1540069580078,0.0,1.2900895853817929e-05
20010104,013000,2000.0,245.09194946289062,0.0,1.2900895853817929e-05
20010104,023000,2000.0,245.22586059570312,0.0,1.2900895853817929e-05
20010104,033000,2000.0,245.1472930908203,0.0,1.8843024008674547e-05
20010104,043000,2000.0,245.01451110839844,0.0,1.8843024008674547e-05
20010104,053000,2000.0,244.8404998779297,0.0,1.8843024008674547e-05
20010104,063000,2000.0,244.42434692382812,0.0,3.861383447656408e-05
20010104,073000,2000.0,244.12918090820312,0.0,3.861383447656408e-05
20010104,083000,2000.0,243.9068603515625,0.0,3.861383447656408e-05
20010104,093000,2000.0,244.64291381835938,0.0,0.00013206426228862256
20010104,103000,2000.0,245.0829315185547,0.0,0.00013206426228862256
20010104,113000,2000.0,245.36328125,0.0,0.00013206426228862256
20010104,123000,2000.0,246.2228546142578,0.0,7.923944212961942e-05
20010104,133000,2000.0,247.57411193847656,0.0,7.923944212961942e-05
