YMD,time,swe,sst,ssrd,gsnwl
,,kg m-2,K,W m-2,kg m-2 s-1
20130101,003000,999.9998168945312,247.5222930908203,0.0,0.0
20130101,013000,1000.0,245.1540069580078,2.0707895755767822,0.0
20130101,023000,1000.0,244.01284790039062,69.26800537109375,0.0
20130101,033000,1000.0,244.8588104248047,234.9170379638672,0.0
20130101,043000,1000.0,246.32940673828125,330.11358642578125,0.0
20130101,053000,1000.0,247.8964080810547,384.8797912597656,0.0
20130101,063000,1000.0,249.2908172607422,413.6598815917969,0.0
20130101,073000,1000.0,249.9642333984375,377.8036193847656,0.0
20130101,083000,1000.0,249.773681640625,297.4435119628906,0.0
20130101,093000,1000.0,248.1534423828125,127.0043716430664,0.0
20130101,103000,1000.0,246.1591796875,26.192344665527344,0.0
20130101,113000,1000.0,244.4781494140625,0.0,0.0
20130101,123000,1000.0,243.03457641601562,0.0,0.0
20130101,133000,1000.0,241.91941833496094,0.0,0.0
20130101,143000,1000.0,241.02272033691406,0.0,0.0
20130101,153000,1000.0,240.1456756591797,0.0,0.0
20130101,163000,1000.0,239.4193878173828,0.0,0.0
20130101,173000,1000.0,238.79653930664062,0.0,0.0
20130101,183000,1000.0,238.2482147216797,0.0,0.0
20130101,193000,1000.0,237.7566680908203,0.0,0.0
20130101,203000,1000.0,237.30650329589844,0.0,0.0
20130101,213000,1000.0,236.75347900390625,0.0,0.0
20130101,223000,1000.0,236.2874298095703,0.0,0.0
20130101,233000,1000.0,235.88424682617188,0.0,0.0
20130102,003000,1000.0,235.50001525878906,0.0,0.0
20130102,013000,1000.0,235.17111206054688,1.7336989641189575,0.0
20130102,023000,1000.0,235.33621215820312,55.10676574707031,0.0
20130102,033000,1000.0,237.46961975097656,213.30905151367188,0.0
20130102,043000,1000.0,239.85389709472656,299.3673400878906,0.0
20130102,053000,1000.0,242.0960235595703,348.8783264160156,0.0
20130102,063000,1000.0,244.10687255859375,394.2582092285156,0.0
20130102,073000,1000.0,245.24757385253906,360.18023681640625,0.0
20130102,083000,1000.0,245.4164581298828,283.7995300292969,0.0
20130102,093000,1000.0,243.6600341796875,131.64370727539062,0.0
20130102,103000,1000.0,241.5638427734375,27.53240394592285,0.0
20130102,113000,1000.0,239.8109130859375,0.0,0.0
20130102,123000,1000.0,238.35130310058594,0.0,0.0
20130102,133000,1000.0,237.26409912109375,0.0,0.0
20130102,143000,1000.0,236.42593383789062,0.0,0.0
20130102,153000,1000.0,235.6599578857422,0.0,0.0
20130102,163000,1000.0,235.10342407226562,0.0,0.0
20130102,173000,1000.0,234.6986541748047,0.0,0.0
20130102,183000,1000.0,234.3223114013672,0.0,0.0
20130102,193000,1000.0,233.91453552246094,0.0,0.0
20130102,203000,1000.0,233.48733520507812,0.0,0.0
20130102,213000,1000.0,233.0809326171875,0.0,0.0
20130102,223000,1000.0,232.72964477539062,0.0,0.0
20130102,233000,1000.0,232.41847229003906,0.0,0.0
20130103,003000,1000.0,232.14808654785156,0.0,0.0
20130103,013000,1000.0,231.92149353027344,2.3132848739624023,0.0
20130103,023000,1000.0,232.3165740966797,68.49238586425781,0.0
20130103,033000,1000.0,234.8817596435547,227.3996124267578,0.0
20130103,043000,1000.0,237.68988037109375,318.7021179199219,0.0
20130103,053000,1000.0,240.31344604492188,371.2322692871094,0.0
20130103,063000,1000.0,242.66810607910156,384.8970642089844,0.0
20130103,073000,1000.0,244.0200653076172,351.72991943359375,0.0
20130103,083000,1000.0,244.364013671875,277.3848571777344,0.0
20130103,093000,1000.0,242.8132781982422,119.53152465820312,0.0
20130103,103000,1000.0,240.9224090576172,25.373018264770508,0.0
20130103,113000,1000.0,239.36473083496094,0.0,0.0
20130103,123000,1000.0,238.20994567871094,0.0,0.0
20130103,133000,1000.0,237.34066772460938,0.0,0.0
20130103,143000,1000.0,236.6591339111328,0.0,0.0
20130103,153000,1000.0,236.38021850585938,0.0,0.0
20130103,163000,1000.0,236.12506103515625,0.0,0.0
20130103,173000,1000.0,235.8856658935547,0.0,0.0
20130103,183000,1000.0,235.69143676757812,0.0,0.0
20130103,193000,1000.0,235.51292419433594,0.0,0.0
20130103,203000,1000.0,235.34600830078125,0.0,0.0
20130103,213000,1000.0,235.31834411621094,0.0,0.0
20130103,223000,1000.0,235.28176879882812,0.0,0.0
20130103,233000,1000.0,235.24069213867188,0.0,0.0
20130104,003000,1000.0,235.03465270996094,0.0,0.0
20130104,013000,1000.0,234.89627075195312,2.074512481689453,0.0
20130104,023000,1000.0,235.30923461914062,57.26662826538086,0.0
20130104,033000,1000.0,237.3851318359375,211.64389038085938,0.0
20130104,043000,1000.0,239.71188354492188,296.1805725097656,0.0
20130104,053000,1000.0,241.90113830566406,344.8199462890625,0.0
20130104,063000,1000.0,243.98806762695312,340.08673095703125,0.0
20130104,073000,1000.0,245.25234985351562,310.877197265625,0.0
20130104,083000,1000.0,245.64515686035156,245.39813232421875,0.0
20130104,093000,1000.0,243.93441772460938,117.40806579589844,0.0
20130104,103000,1000.0,241.93885803222656,25.313337326049805,0.0
20130104,113000,1000.0,240.3043212890625,0.0,0.0
20130104,123000,1000.0,239.92356872558594,0.0,0.0
20130104,133000,1000.0,239.62425231933594,0.0,0.0
20130104,143000,1000.0,239.37701416015625,0.0,0.0
20130104,153000,1000.0,239.4127960205078,0.0,0.0
20130104,163000,1000.0,239.416259765625,0.0,0.0
20130104,173000,1000.0,239.3984375,0.0,0.0
20130104,183000,1000.0,239.06741333007812,0.0,0.0
20130104,193000,1000.0,238.8280792236328,0.0,0.0
20130104,203000,1000.0,238.65045166015625,0.0,0.0
20130104,213000,1000.0,237.51144409179688,0.0,0.0
20130104,223000,1000.0,236.6863555908203,0.0,0.0
20130104,233000,1000.0,236.07212829589844,0.0,0.0
20130105,003000,1000.0,235.2752685546875,0.0,0.0
20130105,013000,1000.0,234.6729278564453,2.656453847885132,0.0
20130105,023000,1000.0,234.82943725585938,68.46292877197266,0.0
20130105,033000,1000.0,237.12046813964844,226.82200622558594,0.0
20130105,043000,1000.0,239.72389221191406,316.91949462890625,0.0
20130105,053000,1000.0,242.17620849609375,368.7602844238281,0.0
20130105,063000,1000.0,244.55572509765625,352.3145751953125,5.309062089509098e-06
20130105,073000,1000.0,245.95791625976562,322.160888671875,5.309062089509098e-06
